MatchID,League,HomeOdds,DrawOdds,AwayOdds,Over1_5Odds
USA-BIH,World Cup,1.36,5.60,9.20,1.30
ESP-AUT,World Cup,1.33,5.60,10.50,1.28
BATE-GOM,Belarus Vysshaya Liga,4.10,3.25,1.92,1.40
FCM-DNM,Belarus Vysshaya Liga,5.80,4.10,1.53,1.35
UCL-ULC,Chile Cup,1.45,4.50,5.50,1.38
HUA-DCN,Chile Cup,2.15,3.15,3.20,1.42
KUR-FLO,Estonia Meistriliiga,7.40,5.15,1.33,1.25
TAL-TAB,Estonia Cup,17.00,10.75,1.07,1.20
HAW-ADA,Ethiopia Premier League,2.58,2.86,2.78,1.33
CRO-ITA,Euro U19,3.86,3.86,1.93,1.30
SER-UKR,Euro U19,2.91,3.60,2.41,1.32
JAZ-KPV,Finland Ykkonen,1.48,4.65,4.90,1.27
THO-KRR,Iceland Besta deild,7.40,7.00,1.26,1.22
VIK-KAA,Iceland Besta deild,1.19,7.30,10.50,1.21
KAI-OKZ,Kazakhstan Premier League,1.30,4.90,9.00,1.25
JWA-SAH,Lebanon Premier League,1.58,3.60,4.85,1.33
ARI-RAC,Lebanon Premier League,1.25,4.95,9.00,1.28
BER-WYD,Morocco Botola Pro,1.83,3.25,4.45,1.35
COD-FAR,Morocco Botola Pro,5.70,3.70,1.57,1.40
DCH-OSA,Morocco Botola Pro,2.13,3.15,3.40,1.36
KAW-MAG,Morocco Botola Pro,4.85,3.05,1.83,1.38
RAJ-HAS,Morocco Botola Pro,1.48,3.90,6.80,1.32
REN-FUS,Morocco Botola Pro,1.88,3.30,4.10,1.34
UNI-IRT,Morocco Botola Pro,1.77,3.30,4.70,1.33
YAC-DIF,Morocco Botola Pro,1.88,3.30,4.05,1.34
LYN-ASA,Norway OBOS-ligaen,1.78,4.05,3.85,1.31

